variable,description,topic,tenure,ami,detail
E11,"Household Income >50% to <=80% HAMFI (Owners and Renters) and Cost Burden not available, no other housing problems",Income and problems,Total,50% to 80%,"Cost burden not available, no other problems"
E13,Household Income >80% to <=100% HAMFI (Owners and Renters) and Household has at least 1 of 4 Housing Problems,Income and problems,Total,80% to 100%,At least 1 problem
E14,Household Income >80% to <=100% HAMFI (Owners and Renters) and Household has none of 4 Housing Problems,Income and problems,Total,80% to 100%,No problems
E15,"Household Income >80% to <=100% HAMFI (Owners and Renters) and Cost Burden not available, no other housing problems",Income and problems,Total,80% to 100%,"Cost burden not available, no other problems"
E17,Household Income >100% HAMFI (Owners and Renters) and Household has at least 1 of 4 Housing Problems,Income and problems,Total,Greater than 100%,At least 1 problem
E18,Household Income >100% HAMFI (Owners and Renters) and Household has none of 4 Housing Problems,Income and problems,Total,Greater than 100%,No problems
E19,"Household Income >100% HAMFI (Owners and Renters) and Cost Burden not available, no other housing problems",Income and problems,Total,Greater than 100%,"Cost burden not available, no other problems"
E21,Total Household has at least 1 of 4 Housing Problems (Owners and Renters),Income and problems,Total,Total,At least 1 problem
E22,Total Household has none of 4 Housing Problems (Owners and Renters),Income and problems,Total,Total,No problems
E23,"Total Cost Burden not available, no other housing problems (Owners and Renters)",Income and problems,Total,Total,"Cost burden not available, no other problems"
F1,Household Income <= 30% HAMFI (Renters only) and Household has at least 1 of 4 Housing Problems,Income and problems,Renter,30% or less,At least 1 problem
F2,Household Income <= 30% HAMFI (Renters only) and Household has none of 4 Housing Problems,Income and problems,Renter,30% or less,No problems
F3,"Household Income <= 30% HAMFI (Renters only) and Cost Burden not available, no other housing problems",Income and problems,Renter,30% or less,"Cost burden not available, no other problems"
F5,Household Income >30% to <=50% HAMFI (Renters only) and Household has at least 1 of 4 Housing Problems,Income and problems,Renter,30% to 50%,At least 1 problem
F6,Household Income >30% to <=50% HAMFI (Renters only) and Household has none of 4 Housing Problems,Income and problems,Renter,30% to 50%,No problems
F7,"Household Income >30% to <=50% HAMFI (Renters only) and Cost Burden not available, no other housing problems",Income and problems,Renter,30% to 50%,"Cost burden not available, no other problems"
F9,Household Income >50% to <=80% HAMFI (Renters only) and Household has at least 1 of 4 Housing Problems,Income and problems,Renter,50% to 80%,At least 1 problem
F10,Household Income >50% to <=80% HAMFI (Renters only) and Household has none of 4 Housing Problems,Income and problems,Renter,50% to 80%,No problems
F11,"Household Income >50% to <=80% HAMFI (Renters only) and Cost Burden not available, no other housing problems",Income and problems,Renter,50% to 80%,"Cost burden not available, no other problems"
F13,Household Income >80% to <=100% HAMFI (Renters only) and Household has at least 1 of 4 Housing Problems,Income and problems,Renter,80% to 100%,At least 1 problem
F14,Household Income >80% to <=100% HAMFI (Renters only) and Household has none of 4 Housing Problems,Income and problems,Renter,80% to 100%,No problems
F15,"Household Income >80% to <=100% HAMFI (Renters only) and Cost Burden not available, no other housing problems",Income and problems,Renter,80% to 100%,"Cost burden not available, no other problems"
F17,Household Income >100% HAMFI (Renters only) and Household has at least 1 of 4 Housing Problems,Income and problems,Renter,Greater than 100%,At least 1 problem
F18,Household Income >100% HAMFI (Renters only) and Household has none of 4 Housing Problems,Income and problems,Renter,Greater than 100%,No problems
F19,"Household Income >100% HAMFI (Renters only) and Cost Burden not available, no other housing problems",Income and problems,Renter,Greater than 100%,"Cost burden not available, no other problems"
F21,Total Household has at least 1 of 4 Housing Problems (Renters only),Income and problems,Renter,Total,At least 1 problem
F22,Total Household has none of 4 Housing Problems (Renters only),Income and problems,Renter,Total,No problems
F23,"Total Cost Burden not available, no other housing problems (Renters only)",Income and problems,Renter,Total,"Cost burden not available, no other problems"
G1,Household Income <= 30% HAMFI (Owners only) and Household has at least 1 of 4 Housing Problems,Income and problems,Owner,30% or less,At least 1 problem
G2,Household Income <= 30% HAMFI (Owners only) and Household has none of 4 Housing Problems,Income and problems,Owner,30% or less,No problems
G3,"Household Income <= 30% HAMFI (Owners only) and Cost Burden not available, no other housing problems",Income and problems,Owner,30% or less,"Cost burden not available, no other problems"
G5,Household Income >30% to <=50% HAMFI (Owners only) and Household has at least 1 of 4 Housing Problems,Income and problems,Owner,30% to 50%,At least 1 problem
G6,Household Income >30% to <=50% HAMFI (Owners only) and Household has none of 4 Housing Problems,Income and problems,Owner,30% to 50%,No problems
G7,"Household Income >30% to <=50% HAMFI (Owners only) and Cost Burden not available, no other housing problems",Income and problems,Owner,30% to 50%,"Cost burden not available, no other problems"
G9,Household Income >50% to <=80% HAMFI (Owners only) and Household has at least 1 of 4 Housing Problems,Income and problems,Owner,50% to 80%,At least 1 problem
G10,Household Income >50% to <=80% HAMFI (Owners only) and Household has none of 4 Housing Problems,Income and problems,Owner,50% to 80%,No problems
G11,"Household Income >50% to <=80% HAMFI (Owners only) and Cost Burden not available, no other housing problems",Income and problems,Owner,50% to 80%,"Cost burden not available, no other problems"
G13,Household Income >80% to <=100% HAMFI (Owners only) and Household has at least 1 of 4 Housing Problems,Income and problems,Owner,80% to 100%,At least 1 problem
G14,Household Income >80% to <=100% HAMFI (Owners only) and Household has none of 4 Housing Problems,Income and problems,Owner,80% to 100%,No problems
G15,"Household Income >80% to <=100% HAMFI (Owners only) and Cost Burden not available, no other housing problems",Income and problems,Owner,80% to 100%,"Cost burden not available, no other problems"
G17,Household Income >100% HAMFI (Owners only) and Household has at least 1 of 4 Housing Problems,Income and problems,Owner,Greater than 100%,At least 1 problem
G18,Household Income >100% HAMFI (Owners only) and Household has none of 4 Housing Problems,Income and problems,Owner,Greater than 100%,No problems
G19,"Household Income >100% HAMFI (Owners only) and Cost Burden not available, no other housing problems",Income and problems,Owner,Greater than 100%,"Cost burden not available, no other problems"
G21,Total Household has at least 1 of 4 Housing Problems (Owners only),Income and problems,Owner,Total,At least 1 problem
G22,Total Household has none of 4 Housing Problems (Owners only),Income and problems,Owner,Total,No problems
G23,"Total Cost Burden not available, no other housing problems (Owners only)",Income and problems,Owner,Total,"Cost burden not available, no other problems"
H1,Household Income <= 30% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,30% or less,Cost burdened
H2,Household Income <= 30% HAMFI (Owners and Renters) and Cost burden > 50%,Income and cost burden,Total,30% or less,Severely cost burdened
H4,Household Income >30% to <=50% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,30% to 50%,Cost burdened
H5,Household Income >30% to <=50% HAMFI (Owners and Renters) and Cost burden > 50%,Income and cost burden,Total,30% to 50%,Severely cost burdened
H7,Household Income >50% to <=80% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,50% to 80%,Cost burdened
H8,Household Income >50% to <=80% HAMFI (Owners and Renters) and Cost burden > 50%,Income and cost burden,Total,50% to 80%,Severely cost burdened
H10,Household Income >80% to <=100% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,80% to 100%,Cost burdened
H11,Household Income >80% to <=100% HAMFI (Owners and Renters) and Cost burden > 50%,Income and cost burden,Total,80% to 100%,Severely cost burdened
H13,Household Income >100% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,Greater than 100%,Cost burdened
H14,Household Income >100% HAMFI (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,Greater than 100%,Severely cost burdened
H16,Total (Owners and Renters) and Cost burden > 30%,Income and cost burden,Total,Total,Cost burdened
H17,Total (Owners and Renters) and Cost burden > 50%,Income and cost burden,Total,Total,Severely cost burdened
I1,Household Income <= 30% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,30% or less,Cost burdened
I2,Household Income <= 30% HAMFI (Renters only) and Cost burden > 50%,Income and cost burden,Renter,30% or less,Severely cost burdened
I4,Household Income >30% to <=50% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,30% to 50%,Cost burdened
I5,Household Income >30% to <=50% HAMFI (Renters only) and Cost burden > 50%,Income and cost burden,Renter,30% to 50%,Severely cost burdened
I7,Household Income >50% to <=80% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,50% to 80%,Cost burdened
I8,Household Income >50% to <=80% HAMFI (Renters only) and Cost burden > 50%,Income and cost burden,Renter,50% to 80%,Severely cost burdened
I10,Household Income >80% to <=100% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,80% to 100%,Cost burdened
I11,Household Income >80% to <=100% HAMFI (Renters only) and Cost burden > 50%,Income and cost burden,Renter,80% to 100%,Severely cost burdened
I13,Household Income >100% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,Greater than 100%,Cost burdened
I14,Household Income >100% HAMFI (Renters only) and Cost burden > 30%,Income and cost burden,Renter,Greater than 100%,Severely cost burdened
I16,Total (Renters only) and Cost burden > 30%,Income and cost burden,Renter,Total,Cost burdened
I17,Total (Renters only) and Cost burden > 50%,Income and cost burden,Renter,Total,Severely cost burdened
J1,Household Income <= 30% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,30% or less,Cost burdened
J2,Household Income <= 30% HAMFI (Owners only) and Cost burden > 50%,Income and cost burden,Owner,30% or less,Severely cost burdened
J4,Household Income >30% to <=50% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,30% to 50%,Cost burdened
J5,Household Income >30% to <=50% HAMFI (Owners only) and Cost burden > 50%,Income and cost burden,Owner,30% to 50%,Severely cost burdened
J7,Household Income >50% to <=80% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,50% to 80%,Cost burdened
J8,Household Income >50% to <=80% HAMFI (Owners only) and Cost burden > 50%,Income and cost burden,Owner,50% to 80%,Severely cost burdened
J10,Household Income >80% to <=100% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,80% to 100%,Cost burdened
J11,Household Income >80% to <=100% HAMFI (Owners only) and Cost burden > 50%,Income and cost burden,Owner,80% to 100%,Severely cost burdened
J13,Household Income >100% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,Greater than 100%,Cost burdened
J14,Household Income >100% HAMFI (Owners only) and Cost burden > 30%,Income and cost burden,Owner,Greater than 100%,Severely cost burdened
J16,Total (Owners only) and Cost burden > 30%,Income and cost burden,Owner,Total,Cost burdened
J17,Total (Owners only) and Cost burden > 50%,Income and cost burden,Owner,Total,Severely cost burdened
