fips,locality,year,tenure,age,estimate,moe
51001,Accomack County,2016,Owner,35 to 44,820,184
51001,Accomack County,2016,Owner,45 to 54,1955,202
51001,Accomack County,2016,Owner,55 to 59,1082,228
51001,Accomack County,2016,Owner,60 to 64,1250,197
51001,Accomack County,2016,Owner,65 to 74,2219,180
51001,Accomack County,2016,Owner,75 to 84,1251,135
51001,Accomack County,2016,Owner,85 and over,513,111
51001,Accomack County,2016,Renter,15 to 24,363,142
51001,Accomack County,2016,Renter,25 to 34,989,270
51001,Accomack County,2016,Renter,35 to 44,974,206
51001,Accomack County,2016,Renter,45 to 54,689,157
51001,Accomack County,2016,Renter,55 to 59,491,169
51001,Accomack County,2016,Renter,60 to 64,180,84
51001,Accomack County,2016,Renter,65 to 74,265,123
51001,Accomack County,2016,Renter,75 to 84,218,80
51001,Accomack County,2016,Renter,85 and over,45,28
51001,Accomack County,2017,Owner,15 to 24,14,20
51001,Accomack County,2017,Owner,25 to 34,430,164
51001,Accomack County,2017,Owner,35 to 44,865,159
51001,Accomack County,2017,Owner,45 to 54,1872,214
51001,Accomack County,2017,Owner,55 to 59,1084,216
51001,Accomack County,2017,Owner,60 to 64,1313,201
51001,Accomack County,2017,Owner,65 to 74,2247,140
51001,Accomack County,2017,Owner,75 to 84,1168,149
51001,Accomack County,2017,Owner,85 and over,473,105
51001,Accomack County,2017,Renter,15 to 24,306,158
51001,Accomack County,2017,Renter,25 to 34,828,228
51001,Accomack County,2017,Renter,35 to 44,919,206
51001,Accomack County,2017,Renter,45 to 54,638,155
51001,Accomack County,2017,Renter,55 to 59,571,203
51001,Accomack County,2017,Renter,60 to 64,183,82
51001,Accomack County,2017,Renter,65 to 74,293,113
51001,Accomack County,2017,Renter,75 to 84,260,93
51001,Accomack County,2017,Renter,85 and over,64,35
51001,Accomack County,2018,Owner,15 to 24,17,19
51001,Accomack County,2018,Owner,25 to 34,348,132
51001,Accomack County,2018,Owner,35 to 44,851,205
51001,Accomack County,2018,Owner,45 to 54,1590,203
51001,Accomack County,2018,Owner,55 to 59,1117,191
51001,Accomack County,2018,Owner,60 to 64,1235,221
51001,Accomack County,2018,Owner,65 to 74,2213,185
51001,Accomack County,2018,Owner,75 to 84,1177,146
51001,Accomack County,2018,Owner,85 and over,545,146
51001,Accomack County,2018,Renter,15 to 24,167,96
51001,Accomack County,2018,Renter,25 to 34,956,267
51001,Accomack County,2018,Renter,35 to 44,872,239
51001,Accomack County,2018,Renter,45 to 54,803,206
51001,Accomack County,2018,Renter,55 to 59,510,166
51001,Accomack County,2018,Renter,60 to 64,270,121
51001,Accomack County,2018,Renter,65 to 74,385,150
51001,Accomack County,2018,Renter,75 to 84,288,84
51001,Accomack County,2018,Renter,85 and over,57,34
51001,Accomack County,2019,Owner,15 to 24,17,17
51001,Accomack County,2019,Owner,25 to 34,350,131
51001,Accomack County,2019,Owner,35 to 44,775,119
51001,Accomack County,2019,Owner,45 to 54,1438,241
51001,Accomack County,2019,Owner,55 to 59,1116,184
51001,Accomack County,2019,Owner,60 to 64,1363,189
51001,Accomack County,2019,Owner,65 to 74,2192,166
51001,Accomack County,2019,Owner,75 to 84,1139,181
51001,Accomack County,2019,Owner,85 and over,587,155
51001,Accomack County,2019,Renter,15 to 24,205,112
51001,Accomack County,2019,Renter,25 to 34,960,251
51001,Accomack County,2019,Renter,35 to 44,904,228
51001,Accomack County,2019,Renter,45 to 54,909,255
51001,Accomack County,2019,Renter,55 to 59,458,166
51001,Accomack County,2019,Renter,60 to 64,271,126
51001,Accomack County,2019,Renter,65 to 74,442,134
51001,Accomack County,2019,Renter,75 to 84,233,82
51001,Accomack County,2019,Renter,85 and over,79,39
51001,Accomack County,2020,Owner,15 to 24,11,16
51001,Accomack County,2020,Owner,25 to 34,303,129
51001,Accomack County,2020,Owner,35 to 44,834,135
51001,Accomack County,2020,Owner,45 to 54,1201,207
51001,Accomack County,2020,Owner,55 to 59,1147,208
51001,Accomack County,2020,Owner,60 to 64,1174,221
51001,Accomack County,2020,Owner,65 to 74,2282,192
51001,Accomack County,2020,Owner,75 to 84,1336,188
51001,Accomack County,2020,Owner,85 and over,573,186
51001,Accomack County,2020,Renter,15 to 24,229,127
51001,Accomack County,2020,Renter,25 to 34,1170,288
51001,Accomack County,2020,Renter,35 to 44,990,209
51001,Accomack County,2020,Renter,45 to 54,824,180
51001,Accomack County,2020,Renter,55 to 59,604,222
51001,Accomack County,2020,Renter,60 to 64,194,99
51001,Accomack County,2020,Renter,65 to 74,429,156
51001,Accomack County,2020,Renter,75 to 84,198,78
51001,Accomack County,2020,Renter,85 and over,142,88
51001,Accomack County,2021,Owner,15 to 24,25,20
51001,Accomack County,2021,Owner,25 to 34,336,135
51001,Accomack County,2021,Owner,35 to 44,918,143
51001,Accomack County,2021,Owner,45 to 54,1362,248
51001,Accomack County,2021,Owner,55 to 59,1138,257
51001,Accomack County,2021,Owner,60 to 64,1325,233
51001,Accomack County,2021,Owner,65 to 74,2489,178
51001,Accomack County,2021,Owner,75 to 84,1428,149
51001,Accomack County,2021,Owner,85 and over,442,142
51001,Accomack County,2021,Renter,15 to 24,214,134
51001,Accomack County,2021,Renter,25 to 34,1194,265
51001,Accomack County,2021,Renter,35 to 44,717,225
51001,Accomack County,2021,Renter,45 to 54,929,208
51001,Accomack County,2021,Renter,55 to 59,453,188
51001,Accomack County,2021,Renter,60 to 64,227,114
51001,Accomack County,2021,Renter,65 to 74,518,130
51001,Accomack County,2021,Renter,75 to 84,208,100
51001,Accomack County,2021,Renter,85 and over,229,122
51003,Albemarle County,2010,Owner,15 to 24,124,79
51003,Albemarle County,2010,Owner,25 to 34,2364,231
51003,Albemarle County,2010,Owner,35 to 44,4025,269
51003,Albemarle County,2010,Owner,45 to 54,6082,277
51003,Albemarle County,2010,Owner,55 to 59,2859,279
51003,Albemarle County,2010,Owner,60 to 64,2461,236
51003,Albemarle County,2010,Owner,65 to 74,3524,220
51003,Albemarle County,2010,Owner,75 to 84,2196,256
51003,Albemarle County,2010,Owner,85 and over,875,171
51003,Albemarle County,2010,Renter,15 to 24,1948,278
51003,Albemarle County,2010,Renter,25 to 34,3852,390
51003,Albemarle County,2010,Renter,35 to 44,2421,358
51003,Albemarle County,2010,Renter,45 to 54,1857,242
51003,Albemarle County,2010,Renter,55 to 59,659,179
51003,Albemarle County,2010,Renter,60 to 64,557,173
51003,Albemarle County,2010,Renter,65 to 74,605,159
51003,Albemarle County,2010,Renter,75 to 84,536,108
51003,Albemarle County,2010,Renter,85 and over,514,139
51003,Albemarle County,2011,Owner,15 to 24,149,91
51003,Albemarle County,2011,Owner,25 to 34,2262,271
51003,Albemarle County,2011,Owner,35 to 44,3837,301
51003,Albemarle County,2011,Owner,45 to 54,6105,333
51003,Albemarle County,2011,Owner,55 to 59,2884,272
51003,Albemarle County,2011,Owner,60 to 64,2740,269
51003,Albemarle County,2011,Owner,65 to 74,3686,200
51003,Albemarle County,2011,Owner,75 to 84,2287,241
51003,Albemarle County,2011,Owner,85 and over,781,149
51003,Albemarle County,2011,Renter,15 to 24,1780,318
51003,Albemarle County,2011,Renter,25 to 34,3944,445
51003,Albemarle County,2011,Renter,35 to 44,2157,329
51003,Albemarle County,2011,Renter,45 to 54,1709,290
51003,Albemarle County,2011,Renter,55 to 59,731,205
51003,Albemarle County,2011,Renter,60 to 64,623,193
51003,Albemarle County,2011,Renter,65 to 74,614,153
51003,Albemarle County,2011,Renter,75 to 84,470,124
51003,Albemarle County,2011,Renter,85 and over,639,131
51003,Albemarle County,2012,Owner,15 to 24,138,75
51003,Albemarle County,2012,Owner,25 to 34,1978,270
51003,Albemarle County,2012,Owner,35 to 44,3715,255
51003,Albemarle County,2012,Owner,45 to 54,5831,344
51003,Albemarle County,2012,Owner,55 to 59,3040,281
51003,Albemarle County,2012,Owner,60 to 64,2798,310
51003,Albemarle County,2012,Owner,65 to 74,4059,227
51003,Albemarle County,2012,Owner,75 to 84,2408,216
51003,Albemarle County,2012,Owner,85 and over,681,137
51003,Albemarle County,2012,Renter,15 to 24,1682,399
51003,Albemarle County,2012,Renter,25 to 34,4004,452
51003,Albemarle County,2012,Renter,35 to 44,2115,247
51003,Albemarle County,2012,Renter,45 to 54,1940,356
51003,Albemarle County,2012,Renter,55 to 59,772,210
51003,Albemarle County,2012,Renter,60 to 64,652,197
51003,Albemarle County,2012,Renter,65 to 74,597,182
51003,Albemarle County,2012,Renter,75 to 84,478,116
51003,Albemarle County,2012,Renter,85 and over,661,146
51003,Albemarle County,2013,Owner,15 to 24,120,82
51003,Albemarle County,2013,Owner,25 to 34,2061,262
51003,Albemarle County,2013,Owner,35 to 44,3739,267
51003,Albemarle County,2013,Owner,45 to 54,5759,337
51003,Albemarle County,2013,Owner,55 to 59,3145,313
51003,Albemarle County,2013,Owner,60 to 64,2846,288
51003,Albemarle County,2013,Owner,65 to 74,4220,233
51003,Albemarle County,2013,Owner,75 to 84,2496,278
51003,Albemarle County,2013,Owner,85 and over,692,141
51003,Albemarle County,2013,Renter,15 to 24,1295,311
51003,Albemarle County,2013,Renter,25 to 34,4036,303
51003,Albemarle County,2013,Renter,35 to 44,2326,278
51003,Albemarle County,2013,Renter,45 to 54,1806,262
51003,Albemarle County,2013,Renter,55 to 59,916,191
51003,Albemarle County,2013,Renter,60 to 64,631,176
51003,Albemarle County,2013,Renter,65 to 74,673,189
51003,Albemarle County,2013,Renter,75 to 84,484,150
51003,Albemarle County,2013,Renter,85 and over,719,155
51003,Albemarle County,2014,Owner,15 to 24,103,62
51003,Albemarle County,2014,Owner,25 to 34,2032,296
51003,Albemarle County,2014,Owner,35 to 44,3711,255
51003,Albemarle County,2014,Owner,45 to 54,5738,310
51003,Albemarle County,2014,Owner,55 to 59,3085,354
51003,Albemarle County,2014,Owner,60 to 64,2820,331
51003,Albemarle County,2014,Owner,65 to 74,4475,247
51003,Albemarle County,2014,Owner,75 to 84,2384,222
51003,Albemarle County,2014,Owner,85 and over,787,168
51003,Albemarle County,2014,Renter,15 to 24,1208,330
51003,Albemarle County,2014,Renter,25 to 34,4374,314
51003,Albemarle County,2014,Renter,35 to 44,2341,304
51003,Albemarle County,2014,Renter,45 to 54,1845,301
51003,Albemarle County,2014,Renter,55 to 59,844,191
51003,Albemarle County,2014,Renter,60 to 64,916,271
51003,Albemarle County,2014,Renter,65 to 74,657,186
51003,Albemarle County,2014,Renter,75 to 84,513,152
51003,Albemarle County,2014,Renter,85 and over,704,195
51003,Albemarle County,2015,Owner,15 to 24,117,80
51003,Albemarle County,2015,Owner,25 to 34,1873,255
51003,Albemarle County,2015,Owner,35 to 44,3730,285
51003,Albemarle County,2015,Owner,45 to 54,5539,335
51003,Albemarle County,2015,Owner,55 to 59,3017,291
51003,Albemarle County,2015,Owner,60 to 64,2818,267
51003,Albemarle County,2015,Owner,65 to 74,4829,253
51003,Albemarle County,2015,Owner,75 to 84,2480,265
51003,Albemarle County,2015,Owner,85 and over,878,191
51003,Albemarle County,2015,Renter,15 to 24,1158,320
51003,Albemarle County,2015,Renter,25 to 34,4456,420
51003,Albemarle County,2015,Renter,35 to 44,2259,324
51003,Albemarle County,2015,Renter,45 to 54,1903,289
51003,Albemarle County,2015,Renter,55 to 59,1014,232
51003,Albemarle County,2015,Renter,60 to 64,892,259
51003,Albemarle County,2015,Renter,65 to 74,695,192
51003,Albemarle County,2015,Renter,75 to 84,462,149
51003,Albemarle County,2015,Renter,85 and over,733,164
51003,Albemarle County,2016,Owner,15 to 24,72,60
51003,Albemarle County,2016,Owner,25 to 34,1799,258
51003,Albemarle County,2016,Owner,35 to 44,3719,299
51003,Albemarle County,2016,Owner,45 to 54,5561,335
51003,Albemarle County,2016,Owner,55 to 59,3205,305
51003,Albemarle County,2016,Owner,60 to 64,2633,279
51003,Albemarle County,2016,Owner,65 to 74,4984,234
51003,Albemarle County,2016,Owner,75 to 84,2639,267
51003,Albemarle County,2016,Owner,85 and over,972,189
51003,Albemarle County,2016,Renter,15 to 24,1160,275
51003,Albemarle County,2016,Renter,25 to 34,4331,322
51003,Albemarle County,2016,Renter,35 to 44,2643,336
51003,Albemarle County,2016,Renter,45 to 54,1918,271
51003,Albemarle County,2016,Renter,55 to 59,1176,243
51003,Albemarle County,2016,Renter,60 to 64,797,231
51003,Albemarle County,2016,Renter,65 to 74,760,167
51003,Albemarle County,2016,Renter,75 to 84,490,123
51003,Albemarle County,2016,Renter,85 and over,572,131
51003,Albemarle County,2017,Owner,15 to 24,45,38
51003,Albemarle County,2017,Owner,25 to 34,1668,279
51003,Albemarle County,2017,Owner,35 to 44,3668,266
51003,Albemarle County,2017,Owner,45 to 54,5493,313
51003,Albemarle County,2017,Owner,55 to 59,3135,317
51003,Albemarle County,2017,Owner,60 to 64,2675,282
51003,Albemarle County,2017,Owner,65 to 74,5238,269
51003,Albemarle County,2017,Owner,75 to 84,2519,269
51003,Albemarle County,2017,Owner,85 and over,1018,201
51003,Albemarle County,2017,Renter,15 to 24,1097,291
51003,Albemarle County,2017,Renter,25 to 34,4824,469
51003,Albemarle County,2017,Renter,35 to 44,2846,352
51003,Albemarle County,2017,Renter,45 to 54,1838,283
51003,Albemarle County,2017,Renter,55 to 59,1056,221
51003,Albemarle County,2017,Renter,60 to 64,986,240
51003,Albemarle County,2017,Renter,65 to 74,779,184
51003,Albemarle County,2017,Renter,75 to 84,578,142
51003,Albemarle County,2017,Renter,85 and over,552,162
51003,Albemarle County,2018,Owner,15 to 24,55,41
51003,Albemarle County,2018,Owner,25 to 34,1481,240
51003,Albemarle County,2018,Owner,35 to 44,3479,284
51003,Albemarle County,2018,Owner,45 to 54,5385,270
51003,Albemarle County,2018,Owner,55 to 59,3211,343
51003,Albemarle County,2018,Owner,60 to 64,2897,280
51003,Albemarle County,2018,Owner,65 to 74,5371,238
51003,Albemarle County,2018,Owner,75 to 84,2551,297
51003,Albemarle County,2018,Owner,85 and over,961,195
51003,Albemarle County,2018,Renter,15 to 24,1237,250
51003,Albemarle County,2018,Renter,25 to 34,4957,452
51003,Albemarle County,2018,Renter,35 to 44,2816,348
51003,Albemarle County,2018,Renter,45 to 54,1797,275
51003,Albemarle County,2018,Renter,55 to 59,1007,209
51003,Albemarle County,2018,Renter,60 to 64,1060,244
51003,Albemarle County,2018,Renter,65 to 74,960,200
51003,Albemarle County,2018,Renter,75 to 84,622,148
51003,Albemarle County,2018,Renter,85 and over,765,187
51003,Albemarle County,2019,Owner,15 to 24,62,44
51003,Albemarle County,2019,Owner,25 to 34,1448,237
51003,Albemarle County,2019,Owner,35 to 44,3718,325
51003,Albemarle County,2019,Owner,45 to 54,5367,305
51003,Albemarle County,2019,Owner,55 to 59,3162,326
51003,Albemarle County,2019,Owner,60 to 64,2954,317
51003,Albemarle County,2019,Owner,65 to 74,5804,299
51003,Albemarle County,2019,Owner,75 to 84,2823,287
51003,Albemarle County,2019,Owner,85 and over,927,177
51003,Albemarle County,2019,Renter,15 to 24,1303,263
51003,Albemarle County,2019,Renter,25 to 34,4859,380
51003,Albemarle County,2019,Renter,35 to 44,2616,355
51003,Albemarle County,2019,Renter,45 to 54,1796,262
51003,Albemarle County,2019,Renter,55 to 59,1110,238
51003,Albemarle County,2019,Renter,60 to 64,885,227
51003,Albemarle County,2019,Renter,65 to 74,1005,221
51003,Albemarle County,2019,Renter,75 to 84,721,174
51003,Albemarle County,2019,Renter,85 and over,936,245
51003,Albemarle County,2020,Owner,15 to 24,74,56
51003,Albemarle County,2020,Owner,25 to 34,1640,268
51003,Albemarle County,2020,Owner,35 to 44,3934,294
51003,Albemarle County,2020,Owner,45 to 54,5427,283
51003,Albemarle County,2020,Owner,55 to 59,3156,344
51003,Albemarle County,2020,Owner,60 to 64,3090,322
51003,Albemarle County,2020,Owner,65 to 74,6316,354
51003,Albemarle County,2020,Owner,75 to 84,3052,360
51003,Albemarle County,2020,Owner,85 and over,936,227
51003,Albemarle County,2020,Renter,15 to 24,1471,330
51003,Albemarle County,2020,Renter,25 to 34,4495,427
51003,Albemarle County,2020,Renter,35 to 44,2347,273
51003,Albemarle County,2020,Renter,45 to 54,1670,314
51003,Albemarle County,2020,Renter,55 to 59,1164,297
51003,Albemarle County,2020,Renter,60 to 64,788,192
51003,Albemarle County,2020,Renter,65 to 74,983,233
51003,Albemarle County,2020,Renter,75 to 84,871,205
51003,Albemarle County,2020,Renter,85 and over,967,254
51003,Albemarle County,2021,Owner,15 to 24,78,59
51003,Albemarle County,2021,Owner,25 to 34,1758,225
51003,Albemarle County,2021,Owner,35 to 44,4386,330
51003,Albemarle County,2021,Owner,45 to 54,5357,299
51003,Albemarle County,2021,Owner,55 to 59,3240,380
51003,Albemarle County,2021,Owner,60 to 64,3330,379
51003,Albemarle County,2021,Owner,65 to 74,6332,298
51003,Albemarle County,2021,Owner,75 to 84,3036,321
51003,Albemarle County,2021,Owner,85 and over,908,197
51003,Albemarle County,2021,Renter,15 to 24,1336,373
51003,Albemarle County,2021,Renter,25 to 34,4542,433
51003,Albemarle County,2021,Renter,35 to 44,2123,309
51003,Albemarle County,2021,Renter,45 to 54,1879,345
51003,Albemarle County,2021,Renter,55 to 59,896,281
51003,Albemarle County,2021,Renter,60 to 64,897,227
51003,Albemarle County,2021,Renter,65 to 74,1219,278
51003,Albemarle County,2021,Renter,75 to 84,902,219
51003,Albemarle County,2021,Renter,85 and over,847,207
51005,Alleghany County,2010,Owner,15 to 24,104,72
51005,Alleghany County,2010,Owner,25 to 34,497,87
51005,Alleghany County,2010,Owner,35 to 44,987,109
51005,Alleghany County,2010,Owner,45 to 54,1133,130
51005,Alleghany County,2010,Owner,55 to 59,625,101
51005,Alleghany County,2010,Owner,60 to 64,615,94
51005,Alleghany County,2010,Owner,65 to 74,978,82
51005,Alleghany County,2010,Owner,75 to 84,555,104
51005,Alleghany County,2010,Owner,85 and over,264,89
51005,Alleghany County,2010,Renter,15 to 24,73,68
51005,Alleghany County,2010,Renter,25 to 34,201,87
51005,Alleghany County,2010,Renter,35 to 44,176,68
51005,Alleghany County,2010,Renter,45 to 54,240,81
51005,Alleghany County,2010,Renter,55 to 59,95,58
51005,Alleghany County,2010,Renter,60 to 64,47,43
51005,Alleghany County,2010,Renter,65 to 74,195,89
51005,Alleghany County,2010,Renter,75 to 84,155,62
51005,Alleghany County,2010,Renter,85 and over,24,27
51005,Alleghany County,2011,Owner,15 to 24,101,91
51005,Alleghany County,2011,Owner,25 to 34,434,88
51005,Alleghany County,2011,Owner,35 to 44,927,117
51005,Alleghany County,2011,Owner,45 to 54,1076,141
51005,Alleghany County,2011,Owner,55 to 59,635,116
51005,Alleghany County,2011,Owner,60 to 64,588,97
51005,Alleghany County,2011,Owner,65 to 74,1086,93
51005,Alleghany County,2011,Owner,75 to 84,530,102
51005,Alleghany County,2011,Owner,85 and over,252,90
51005,Alleghany County,2011,Renter,15 to 24,54,60
51005,Alleghany County,2011,Renter,25 to 34,342,115
51005,Alleghany County,2011,Renter,35 to 44,172,78
51005,Alleghany County,2011,Renter,45 to 54,251,85
51005,Alleghany County,2011,Renter,55 to 59,79,52
51005,Alleghany County,2011,Renter,60 to 64,51,44
51005,Alleghany County,2011,Renter,65 to 74,185,78
51005,Alleghany County,2011,Renter,75 to 84,153,62
51005,Alleghany County,2011,Renter,85 and over,19,23
51005,Alleghany County,2012,Owner,15 to 24,44,49
51005,Alleghany County,2012,Owner,25 to 34,405,71
51005,Alleghany County,2012,Owner,35 to 44,905,113
51005,Alleghany County,2012,Owner,45 to 54,1046,125
51005,Alleghany County,2012,Owner,55 to 59,632,103
51005,Alleghany County,2012,Owner,60 to 64,570,107
51005,Alleghany County,2012,Owner,65 to 74,1227,89
51005,Alleghany County,2012,Owner,75 to 84,513,76
51005,Alleghany County,2012,Owner,85 and over,275,74
51005,Alleghany County,2012,Renter,15 to 24,79,67
51005,Alleghany County,2012,Renter,25 to 34,333,81
51005,Alleghany County,2012,Renter,35 to 44,161,77
51005,Alleghany County,2012,Renter,45 to 54,220,92
51005,Alleghany County,2012,Renter,55 to 59,72,51
51005,Alleghany County,2012,Renter,60 to 64,60,43
51005,Alleghany County,2012,Renter,65 to 74,131,48
51005,Alleghany County,2012,Renter,75 to 84,156,72
51005,Alleghany County,2012,Renter,85 and over,22,35
51005,Alleghany County,2013,Owner,15 to 24,33,39
51005,Alleghany County,2013,Owner,25 to 34,354,115
51005,Alleghany County,2013,Owner,35 to 44,763,92
51005,Alleghany County,2013,Owner,45 to 54,980,123
51005,Alleghany County,2013,Owner,55 to 59,622,100
51005,Alleghany County,2013,Owner,60 to 64,601,96
51005,Alleghany County,2013,Owner,65 to 74,1232,86
51005,Alleghany County,2013,Owner,75 to 84,527,94
51005,Alleghany County,2013,Owner,85 and over,301,87
51005,Alleghany County,2013,Renter,15 to 24,81,58
51005,Alleghany County,2013,Renter,25 to 34,390,105
51005,Alleghany County,2013,Renter,35 to 44,182,74
51005,Alleghany County,2013,Renter,45 to 54,266,89
51005,Alleghany County,2013,Renter,55 to 59,57,34
51005,Alleghany County,2013,Renter,60 to 64,25,22
51005,Alleghany County,2013,Renter,65 to 74,145,52
51005,Alleghany County,2013,Renter,75 to 84,170,84
51005,Alleghany County,2013,Renter,85 and over,44,43
51005,Alleghany County,2014,Owner,15 to 24,28,29
51005,Alleghany County,2014,Owner,25 to 34,331,88
51005,Alleghany County,2014,Owner,35 to 44,643,96
51005,Alleghany County,2014,Owner,45 to 54,1065,132
51005,Alleghany County,2014,Owner,55 to 59,650,134
51005,Alleghany County,2014,Owner,60 to 64,530,106
51005,Alleghany County,2014,Owner,65 to 74,1265,78
51005,Alleghany County,2014,Owner,75 to 84,582,97
51005,Alleghany County,2014,Owner,85 and over,243,77
51005,Alleghany County,2014,Renter,15 to 24,75,48
51005,Alleghany County,2014,Renter,25 to 34,380,103
51005,Alleghany County,2014,Renter,35 to 44,220,85
51005,Alleghany County,2014,Renter,45 to 54,216,82
51005,Alleghany County,2014,Renter,55 to 59,46,31
51005,Alleghany County,2014,Renter,60 to 64,54,37
