HUD Property ID,HUD Subsidy ID,NHPD Property ID,NHPD Subsidy ID,Subsidy Status,Subsidy Name,Subsidy Subname,Start Date,End Date,Assisted Units,Property Name,Street Address,City,State,Zip Code,Longitude,Latitude,Owner Name,Owner Type,Manager Name,Manager Type,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,Target Population,Earliest Construction Date,Latest Construction Date,Rent to FMR Ratio,Known Total Units,Renewal Type Name,Inactive Status Description,Construction Type,Unpaid Principal Balance,Renewal Name,Renewal ID,SOA Code
,102946141016,1110034,8f1f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,01/03/1991,12/31/2040,35,SIERRA SPRINGS APARTMENTS,61 MAPLEWOOD DR,TAZEWELL,VA,24651,-81.972347,37.018207,SIERRA SPRINGS VA LIMITED PARTNERSHIP,Limited Profit,GEM MANAGEMENT,,36,0,0,Family,,,,36,,Missing from Subsequent Updates,,,,,
,761948488013,1110933,9b1f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,11/12/1999,12/31/2039,6,BIRCH ISLAND II APARTMENTS,10322 PENNY LN,WAKEFIELD,VA,23888,-76.974796,36.97383,BIRCH ISLAND II LIMITED PARTNERSHIP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,16,0,0,Family,,,,16,,Missing from Subsequent Updates,,,,,
,317254947014,1110392,ab1f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,07/15/1983,12/31/2037,60,LAFAYETTE FAM APARTMENTS,121 LAFAYETTE BLVD,WILLIAMSBURG,VA,23188,-76.755006,37.312613,WILLIAMSBURG LAFAYETTE VILL FA,Limited Profit,COMMUNITY HOUSING PARTNERS,,112,0,0,Family,,,,112,,Missing from Subsequent Updates,,,,,
800079081,2808400011,1095150,087a2610-de68-e711-806a-005056ba3ab9,Inactive,HOME,HOME,07/24/2000,07/24/2020,24,,14047 UPPER RIDGE DR,CENTREVILLE,VA,20121,,,CASTELLANI MEADOWS LMTD PRTNSHP,,,,,,,,,,,24,,End Date Passed,New Construction,,,,
,2808400441,1094974,b3a6ea57-de68-e711-806a-005056ba3ab9,Inactive,HOME,HOME,06/29/2011,06/29/2016,26,,LINCOLNIA SENIOR CENTER,ALEXANDRIA,VA,22312,,,FCRHA,,,,,,,,,,,26,,End Date Passed,Rehabilitation,,,,
800244925,VA003000326,1095481,379574c6-e068-e711-806a-005056ba3ab9,Inactive,Public Housing,Public Housing,05/31/2011,,30,ORCUTT TOWNHOMES III,3216 ORCUTT AVE,NEWPORT NEWS,VA,23607,-76.414093,36.989938,NEWPORT NEWS REDEVELOPMENT & HOUSNG AUTHORITY,Public Entity,NEWPORT NEWS REDEVELOPMENT & HOUSNG AUTHORITY,Public Entity,,,,,1/1/2011,1/1/2011,,30,,Missing from Subsequent Updates,,,,,
800079151,44178,1095076,fb556dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,10/01/1976,09/01/2016,209,ESSEX HOUSE,375 S REYNOLDS ST,ALEXANDRIA,VA,22304,,,,,,,,,,,,,,209,,Terminated Mortgage,,,,,VAR
800021790,5135111,1094412,37566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,08/01/1975,05/01/2014,125,DORCHESTER SQUARE,1698 DORCHESTER ST,FRANKLIN,VA,23851,,,,,,,,,,,,,,125,,,,,,,MMI
800021869,5135025,1094919,3b566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,10/01/1971,09/01/2011,147,HAZEL HILL APARTMENTS,100 PRINCESS ANNE ST,FREDERICKSBURG,VA,22401,,,,,,,,,,,,,,147,,Terminated Mortgage,,,,,MMI
800021825,5135181,1094532,3f566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,09/01/1975,08/01/2014,192,FOREST VILLAGE APARTMENTS,1300 FOREST VILLAGE,FREDERICKSBURG,VA,22401,,,,,,,,,,,,,,192,,,,,,,MMI
800021981,5144225,1094398,47566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,05/01/1976,04/01/2016,72,NORTHWAY APARTMENTS,128 WILSON AVE,GALAX,VA,24333,,,,,,,,,,,,,,72,,Terminated Mortgage,,,,,VAR
800021911,5135034,1094311,4b566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,10/01/1972,12/01/2011,46,GRETNA VILLAGE APARTMENTS,327 PAYNE ST,GRETNA,VA,24557,,,,,,,,,,,,,,46,,,,,,,MMI
800021739,5135031,1095183,4f566dde-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,01/01/1973,12/01/2012,120,CENTURY PLAZA APARTMENTS,135 LASSITER DR,HAMPTON,VA,23666,,,,,,,,,,,,,,120,,Terminated Mortgage,,,,,MMI
,5144223,1094866,c0f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,08/01/1975,07/01/2015,101,JEFFERSON HOUSE,1818 LANGHORNE SQ,LYNCHBURG,VA,24501,,,,,,,,,,,,,,101,,Terminated Mortgage,,,,,VAR
800022070,5155014,1094400,c4f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) BMIR URBAN RENEWAL/ COOP HSG,06/01/1971,05/01/2011,46,SHALOM APARTMENTS,700 FEDERAL ST,LYNCHBURG,VA,24504,,,,,,,,,,,,,,46,,Terminated Mortgage,,,,,MMB
800021854,5155018,1094717,c8f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) BMIR URBAN RENEWAL/ COOP HSG,08/01/1970,07/01/2010,144,JAMES RIVER CROSSING,808 GREENFIELD DR,LYNCHBURG,VA,24501,,,,,,,,,,,,,,144,,,,,,,MMB
800022136,5144236,1094426,d0f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,11/01/1978,10/01/2018,200,WALKER VILLAGE,2325 MADISON AVE,NEWPORT NEWS,VA,23607,,,,,,,,,,,,,,200,,Terminated Mortgage,,,,,VAR
800021686,5135028,1094608,d8f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,05/01/1975,02/01/2013,147,AQUAVISTA APARTMENTS,646 6TH ST,NEWPORT NEWS,VA,23607,,,,,,,,,,,,,,147,,Terminated Mortgage,,,,,MMI
800021699,5144074,1094605,e0f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,06/01/1973,05/01/2013,128,BELL DIAMOND MANOR,1009 MIDDLESEX ST,NORFOLK,VA,23523,,,,,,,,,,,,,,128,,Terminated Mortgage,,,,,VAR
800021924,5144050,1094331,e8f367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,02/01/1975,01/01/2015,200,LAKEWOOD PLAZA,5631 TIDEWATER DR,NORFOLK,VA,23509,,,,,,,,,,,,,,200,,Terminated Mortgage,,,,,VAR
,5144154,1095266,fcf367e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,06/01/1977,05/01/2017,207,CHURCHLAND NORTH APARTMENTS,6200 HIGHTOWER RD,PORTSMOUTH,VA,23703,,,,,,,,,,,,,,207,,Terminated Mortgage,,,,,VAR
800009214,5141004,1094478,0cf467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,241(F)/ 236 EQUITY LOAN,06/01/1995,05/01/2027,224,FAIRHILLS APARTMENTS,1329 COALTER ST,RICHMOND,VA,23223,,,,,,,,,,,,,,224,,Terminated Mortgage,,,,,ZFR
800009214,5155005,1094478,10f467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) BMIR URBAN RENEWAL/ COOP HSG,08/01/1969,05/01/2009,224,FAIRHILL APARTMENTS,1329 COALTER ST,RICHMOND,VA,23223,,,,,,,,,,,,,,224,,Terminated Mortgage,,,,,MMB
800021783,5144043,1094482,14f467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,11/01/1974,11/01/2013,140,DARBYTOWN MANOR APARTMENTS,1658 THALIA CRES,RICHMOND,VA,23231,,,,,,,,,,,,,,140,,Terminated Mortgage,,,,,VAR
800222359,5135117,1094561,28f467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,10/01/1975,09/01/2015,128,CARU EAST APARTMENTS,3431 BENNETT DR NW,ROANOKE,VA,24017,,,,,,,,,,,,,,128,,,,,,,MMI
,5135012,1094852,38f467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,02/01/1972,01/01/2012,50,CHURCH MANOR APARTMENTS,519 MAIN ST,SMITHFIELD,VA,23430,,,,,,,,,,,,,,50,,Terminated Mortgage,,,,,MMI
800021692,5144016,1094556,48f467e4-e068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,07/01/1972,03/01/2012,208,ATLANTIS APARTMENTS,999 ATLANTIS DR,VIRGINIA BEACH,VA,23451,,,,,,,,,,,,,,208,,Terminated Mortgage,,,,,VAR
,VAA2003574,1094877,1f5e6e02-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2003,01/01/2033,152,COPPERMINE RUN I,2450 MASONS FERRY DR,HERNDON,VA,20171,-77.407752,38.946727,KETTLER MGMT COMPANY,,,,0,114,38,Family,,,,152,,,New Construction,,,,
,VAA2007795,1094874,47816c14-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2007,01/01/2037,80,MCGUIRE PARK,3807 MCGUIRE DR,RICHMOND,VA,23224,-77.467811,37.501071,MCGUIRE APTS LP,,,,48,32,0,Family,,,,80,,,Acquisition and Rehab,,,,
800021947,VAA2014056,1094352,e4046a2c-e168-e711-806a-005056ba3ab9,Inactive,LIHTC,9% Tax Credit,01/01/2014,01/01/2044,55,MALVERN HILLS APARTMENTS,426 KING ST,PORTSMOUTH,VA,23704,-76.301406,36.834655,TM ASSOC MGMT INC,,,,,,,Elderly or disabled,,,,55,,Missing from Subsequent Updates,Acquisition and Rehab,,,,
,VAA2014007,1118914,b5416232-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2014,01/01/2044,30,CRICKET HILL APARTMENTS,100 ST IVES CT,MATHEWS,VA,,,,TM ASSOC MGMT INC,,,,,,,Family,,,,30,,,New Construction,,,,
,VAA2003624,1094710,3d426232-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2003,01/01/2033,48,WOODRIDGE,2269 MT VIEW TERR SW,ROANOKE,VA,,,,WOODRIDGE APTS INC,,,,3,74,19,Family,,,,96,,,New Construction,,,,
