var_code,var_label,data_type,level,val_min,val_max,var_relabel,val_label,recode,val_length,val_na
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3116,3116,,MFG-Animal Slaughtering And Processing,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,311811,311811,,MFG-Retail Bakeries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3118Z,3118Z,,"MFG-Bakeries And Tortilla, Except Retail Bakeries",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,311M1,311M1,,"MFG-Animal Food, Grain And Oilseed Milling",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,311M2,311M2,,"MFG-Seafood And Other Miscellaneous Foods, N.E.C.",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,311S,311S,,MFG-Not Specified Food Industries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3121,3121,,MFG-Beverage,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3122,3122,,MFG-Tobacco,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3131,3131,,"MFG-Fiber, Yarn, And Thread Mills",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3132Z,3132Z,,"MFG-Fabric Mills, Except Knit Fabric Mills",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3133,3133,,MFG-Textile And Fabric Finishing And Fabric Coating Mills,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,31411,31411,,MFG-Carpet And Rug Mills,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,314Z,314Z,,"MFG-Textile Product Mills, Except Carpet And Rug",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,315M,315M,,"MFG-Cut And Sew, And Apparel Accessories And Other Apparel",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3162,3162,,MFG-Footwear,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,316M,316M,,"MFG-Leather And Hide Tanning And Finishing, And Other Leather And Allied Product",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,31M,31M,,"MFG-Knit Fabric Mills, And Apparel Knitting Mills",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3211,3211,,MFG-Sawmills And Wood Preservation,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3212,3212,,"MFG-Veneer, Plywood, And Engineered Wood Product",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32199M,32199M,,MFG-Manufactured Home (Mobile Home) And Prefabricated Wood Building,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3219ZM,3219ZM,,MFG-Miscellaneous Wood Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3221,3221,,"MFG-Pulp, Paper, And Paperboard Mills",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32221,32221,,MFG-Paperboard Container,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3222M,3222M,,MFG-Miscellaneous Paper And Pulp Products,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3231,3231,,MFG-Printing And Related Support Activities,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3241M,3241M,,"MFG-Petroleum And Coal Products Manufacturing, Except Petroleum Refineries",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32411,32411,,MFG-Petroleum Refineries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3252,3252,,"MFG-Resin, Synthetic Rubber, And Artificial And Synthetic Fibers And Filaments",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3253,3253,,"MFG-Pesticide, Fertilizer, And Other Agricultural Chemical",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3254,3254,,MFG-Pharmaceutical And Medicine,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3255,3255,,"MFG-Paint, Coating, And Adhesive",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3256,3256,,"MFG-Soap, Cleaning Compound, And Toilet Preparation",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,325M,325M,,"MFG-Basic Chemical, And Other Chemical Product And Preparation",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3261,3261,,MFG-Plastics Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32621,32621,,MFG-Tire,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3262M,3262M,,"MFG-Rubber Products, Except Tires",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32711,32711,,"MFG-Pottery, Ceramics, And Plumbing Fixture",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,32712,32712,,MFG-Clay Building Material And Refractories,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3272,3272,,MFG-Glass And Glass Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3279,3279,,MFG-Other Nonmetallic Mineral Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,327M,327M,,"MFG-Cement, Concrete, Lime, And Gypsum Product",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3313,3313,,MFG-Alumina And Aluminum Production And Processing,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3314,3314,,MFG-Nonferrous Metal (Except Aluminum) Production And Processing,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3315,3315,,MFG-Foundries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,331M,331M,,MFG-Iron And Steel Mills And Steel Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3321,3321,,MFG-Forging And Stamping,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3322,3322,,MFG-Cutlery And Handtool,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3327,3327,,"MFG-Machine Shops; Turned Product; Screw, Nut, And Bolt",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3328,3328,,"MFG-Coating, Engraving, Heat Treating, And Allied Activities",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,33299M,33299M,,MFG-Ordnance,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,332M,332M,,"MFG-Architectural And Structural Metals, And Boiler, Tank, And Shipping Container",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,332MZ,332MZ,,MFG-Miscellaneous Fabricated Metal Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,33311,33311,,MFG-Agricultural Implement,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3331M,3331M,,"MFG-Construction, And Mining And Oil And Gas Field Machinery",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3333,3333,,MFG-Commercial And Service Industry Machinery,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3335,3335,,MFG-Metalworking Machinery,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3336,3336,,"MFG-Engine, Turbine, And Power Transmission Equipment",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,333MS,333MS,,"MFG-Machinery, N.E.C. Or Not Specified",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3341,3341,,MFG-Computer And Peripheral Equipment,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3345,3345,,"MFG-Navigational, Measuring, Electromedical, And Control Instruments",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,334M1,334M1,,"MFG-Communications, Audio, And Video Equipment",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,334M2,334M2,,"MFG-Semiconductor, Magnetic And Optical Media, And Other Electronic Component",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3352,3352,,MFG-Household Appliance,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,335M,335M,,"MFG-Electric Lighting And Electrical Equipment, And Other Electrical Component, N.E.C.",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,33641M1,33641M1,,"MFG-Aircraft, Aircraft Engine, And Aircraft Parts",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,33641M2,33641M2,,MFG-Guided Missile And Space Vehicle And Parts,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3365,3365,,MFG-Railroad Rolling Stock,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3366,3366,,MFG-Ship And Boat Building,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3369,3369,,MFG-Other Transportation Equipment,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,336M,336M,,MFG-Motor Vehicles And Motor Vehicle Equipment,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,337,337,,MFG-Furniture And Related Product,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3391,3391,,MFG-Medical Equipment And Supplies,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3399M,3399M,,"MFG-Sporting And Athletic Goods, And Doll, Toy And Game",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3399ZM,3399ZM,,"MFG-Miscellaneous Manufacturing, N.E.C.",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,33MS,33MS,,MFG-Not Specified Metal Industries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3MS,3MS,,MFG-Not Specified Manufacturing Industries,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,4231,4231,,WHL-Motor Vehicle And Motor Vehicle Parts And Supplies Merchant Wholesalers,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,4232,4232,,WHL-Furniture And Home Furnishing Merchant Wholesalers,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,4233,4233,,WHL-Lumber And Other Construction Materials Merchant Wholesalers,TRUE,8,0
