jurisdiction,state,type,priority
Hernando County, Florida,County,No
Highlands County, Florida,County,No
Hillsborough County, Florida,County,No
Holmes County, Florida,County,No
Indian River County, Florida,County,No
Jackson County, Florida,County,No
Jefferson County, Florida,County,No
Lafayette County, Florida,County,No
Lake County, Florida,County,No
Lee County, Florida,County,No
Leon County, Florida,County,Yes
Levy County, Florida,County,No
Liberty County, Florida,County,No
Madison County, Florida,County,No
Manatee County, Florida,County,No
Marion County, Florida,County,No
Martin County, Florida,County,Yes
Miami-Dade County, Florida,County,Yes
Monroe County, Florida,County,Yes
Nassau County, Florida,County,No
Okaloosa County, Florida,County,No
Okeechobee County, Florida,County,No
Orange County, Florida,County,Yes
Osceola County, Florida,County,No
Palm Beach County, Florida,County,Yes
Pasco County, Florida,County,No
Pinellas County, Florida,County,No
Polk County, Florida,County,Yes
Putnam County, Florida,County,No
St. Johns County, Florida,County,Yes
St. Lucie County, Florida,County,No
Santa Rosa County, Florida,County,No
Sarasota County, Florida,County,Yes
Seminole County, Florida,County,No
Sumter County, Florida,County,Yes
Suwannee County, Florida,County,No
Taylor County, Florida,County,No
Union County, Florida,County,No
Volusia County, Florida,County,No
Wakulla County, Florida,County,No
Walton County, Florida,County,No
Washington County, Florida,County,No
Appling County, Georgia,County,No
Atkinson County, Georgia,County,No
Bacon County, Georgia,County,No
Baker County, Georgia,County,No
Baldwin County, Georgia,County,Yes
Banks County, Georgia,County,Yes
Barrow County, Georgia,County,No
Bartow County, Georgia,County,No
Ben Hill County, Georgia,County,No
Berrien County, Georgia,County,No
Bibb County, Georgia,County,No
Bleckley County, Georgia,County,Yes
Brantley County, Georgia,County,No
Brooks County, Georgia,County,No
Bryan County, Georgia,County,No
Bulloch County, Georgia,County,Yes
Burke County, Georgia,County,No
Butts County, Georgia,County,No
Calhoun County, Georgia,County,No
Camden County, Georgia,County,No
Candler County, Georgia,County,No
Carroll County, Georgia,County,No
Catoosa County, Georgia,County,No
Charlton County, Georgia,County,No
Chatham County, Georgia,County,No
Chattahoochee County, Georgia,County,Yes
Chattooga County, Georgia,County,No
Cherokee County, Georgia,County,No
Clarke County, Georgia,County,Yes
Clay County, Georgia,County,No
Clayton County, Georgia,County,No
Clinch County, Georgia,County,No
Cobb County, Georgia,County,No
Coffee County, Georgia,County,No
Colquitt County, Georgia,County,No
Columbia County, Georgia,County,Yes
Cook County, Georgia,County,No
Coweta County, Georgia,County,No
Crawford County, Georgia,County,Yes
Crisp County, Georgia,County,No
Dade County, Georgia,County,No
Dawson County, Georgia,County,No
Decatur County, Georgia,County,No
DeKalb County, Georgia,County,No
Dodge County, Georgia,County,No
Dooly County, Georgia,County,No
Dougherty County, Georgia,County,Yes
Douglas County, Georgia,County,No
Early County, Georgia,County,No
Echols County, Georgia,County,No
Effingham County, Georgia,County,No
Elbert County, Georgia,County,No
Emanuel County, Georgia,County,Yes
Evans County, Georgia,County,No
Fannin County, Georgia,County,Yes
Fayette County, Georgia,County,Yes
Floyd County, Georgia,County,Yes
Forsyth County, Georgia,County,Yes
Franklin County, Georgia,County,No
Fulton County, Georgia,County,Yes
Gilmer County, Georgia,County,No
Glascock County, Georgia,County,Yes
Glynn County, Georgia,County,No
Gordon County, Georgia,County,No
Grady County, Georgia,County,No
Greene County, Georgia,County,No
Gwinnett County, Georgia,County,No
Habersham County, Georgia,County,No
Hall County, Georgia,County,No
Hancock County, Georgia,County,No
Haralson County, Georgia,County,No
Harris County, Georgia,County,Yes
Hart County, Georgia,County,No
Heard County, Georgia,County,Yes
Henry County, Georgia,County,No
Houston County, Georgia,County,No
Irwin County, Georgia,County,No
Jackson County, Georgia,County,No
Jasper County, Georgia,County,No
Jeff Davis County, Georgia,County,No
Jefferson County, Georgia,County,No
Jenkins County, Georgia,County,No
Johnson County, Georgia,County,Yes
Jones County, Georgia,County,No
Lamar County, Georgia,County,Yes
Lanier County, Georgia,County,No
Laurens County, Georgia,County,No
Lee County, Georgia,County,No
Liberty County, Georgia,County,Yes
Lincoln County, Georgia,County,No
Long County, Georgia,County,Yes
Lowndes County, Georgia,County,No
Lumpkin County, Georgia,County,No
McDuffie County, Georgia,County,No
McIntosh County, Georgia,County,No
Macon County, Georgia,County,No
Madison County, Georgia,County,No
Marion County, Georgia,County,Yes
Meriwether County, Georgia,County,No
Miller County, Georgia,County,No
Mitchell County, Georgia,County,No
Monroe County, Georgia,County,No
Montgomery County, Georgia,County,No
Morgan County, Georgia,County,Yes
Murray County, Georgia,County,Yes
Muscogee County, Georgia,County,Yes
Newton County, Georgia,County,No
Oconee County, Georgia,County,Yes
Oglethorpe County, Georgia,County,No
Paulding County, Georgia,County,No
Peach County, Georgia,County,No
Pickens County, Georgia,County,Yes
Pierce County, Georgia,County,No
Pike County, Georgia,County,Yes
Polk County, Georgia,County,No
Pulaski County, Georgia,County,Yes
Putnam County, Georgia,County,No
Quitman County, Georgia,County,No
Rabun County, Georgia,County,No
Randolph County, Georgia,County,No
Richmond County, Georgia,County,No
Rockdale County, Georgia,County,No
Schley County, Georgia,County,No
Screven County, Georgia,County,No
Seminole County, Georgia,County,No
Spalding County, Georgia,County,No
Stephens County, Georgia,County,No
Stewart County, Georgia,County,Yes
Sumter County, Georgia,County,No
Talbot County, Georgia,County,No
Taliaferro County, Georgia,County,Yes
Tattnall County, Georgia,County,No
Taylor County, Georgia,County,Yes
Telfair County, Georgia,County,Yes
Terrell County, Georgia,County,Yes
Thomas County, Georgia,County,No
Tift County, Georgia,County,No
Toombs County, Georgia,County,No
Towns County, Georgia,County,Yes
Treutlen County, Georgia,County,No
Troup County, Georgia,County,Yes
Turner County, Georgia,County,No
Twiggs County, Georgia,County,No
Union County, Georgia,County,Yes
Upson County, Georgia,County,No
Walker County, Georgia,County,No
Walton County, Georgia,County,No
Ware County, Georgia,County,No
Warren County, Georgia,County,No
Washington County, Georgia,County,No
Wayne County, Georgia,County,No
Webster County, Georgia,County,Yes
Wheeler County, Georgia,County,No
White County, Georgia,County,No
Whitfield County, Georgia,County,No
Wilcox County, Georgia,County,Yes
Wilkes County, Georgia,County,No
Wilkinson County, Georgia,County,No
Worth County, Georgia,County,No
Hawaii County, Hawaii,County,Yes
Honolulu County, Hawaii,County,Yes
Kalawao County, Hawaii,County,Yes
Kauai County, Hawaii,County,Yes
Maui County, Hawaii,County,Yes
Ada County, Idaho,County,No
Adams County, Idaho,County,Yes
Bannock County, Idaho,County,No
Bear Lake County, Idaho,County,No
Benewah County, Idaho,County,No
Bingham County, Idaho,County,No
Blaine County, Idaho,County,Yes
Boise County, Idaho,County,No
Bonner County, Idaho,County,Yes
Bonneville County, Idaho,County,No
Boundary County, Idaho,County,No
Butte County, Idaho,County,No
Camas County, Idaho,County,Yes
Canyon County, Idaho,County,No
Caribou County, Idaho,County,Yes
Cassia County, Idaho,County,Yes
Clark County, Idaho,County,Yes
Clearwater County, Idaho,County,No
Custer County, Idaho,County,No
Elmore County, Idaho,County,No
Franklin County, Idaho,County,No
Fremont County, Idaho,County,No
Gem County, Idaho,County,No
Gooding County, Idaho,County,No
Idaho County, Idaho,County,Yes
Jefferson County, Idaho,County,Yes
Jerome County, Idaho,County,No
Kootenai County, Idaho,County,Yes
Latah County, Idaho,County,Yes
Lemhi County, Idaho,County,No
Lewis County, Idaho,County,No
Lincoln County, Idaho,County,No
Madison County, Idaho,County,Yes
Minidoka County, Idaho,County,Yes
Nez Perce County, Idaho,County,No
Oneida County, Idaho,County,Yes
Owyhee County, Idaho,County,No
Payette County, Idaho,County,No
Power County, Idaho,County,Yes
Shoshone County, Idaho,County,No
Teton County, Idaho,County,Yes
Twin Falls County, Idaho,County,No
Valley County, Idaho,County,Yes
Washington County, Idaho,County,No
Adams County, Illinois,County,No
Alexander County, Illinois,County,Yes
Bond County, Illinois,County,No
Boone County, Illinois,County,No
Brown County, Illinois,County,Yes
Bureau County, Illinois,County,No
Calhoun County, Illinois,County,Yes
Carroll County, Illinois,County,No
Cass County, Illinois,County,No
Champaign County, Illinois,County,Yes
Christian County, Illinois,County,No
Clark County, Illinois,County,No
Clay County, Illinois,County,No
Clinton County, Illinois,County,No
Coles County, Illinois,County,No
Cook County, Illinois,County,Yes
Crawford County, Illinois,County,No
Cumberland County, Illinois,County,No
DeKalb County, Illinois,County,No
De Witt County, Illinois,County,No
Douglas County, Illinois,County,No
DuPage County, Illinois,County,Yes
Edgar County, Illinois,County,No
Edwards County, Illinois,County,No
Effingham County, Illinois,County,No
Fayette County, Illinois,County,No
Ford County, Illinois,County,No
Franklin County, Illinois,County,No
Fulton County, Illinois,County,No
Gallatin County, Illinois,County,No
Greene County, Illinois,County,No
Grundy County, Illinois,County,No
Hamilton County, Illinois,County,Yes
Hancock County, Illinois,County,No
Hardin County, Illinois,County,Yes
Henderson County, Illinois,County,No
Henry County, Illinois,County,No
Iroquois County, Illinois,County,No
Jackson County, Illinois,County,Yes
Jasper County, Illinois,County,Yes
Jefferson County, Illinois,County,No
Jersey County, Illinois,County,No
Jo Daviess County, Illinois,County,No
Johnson County, Illinois,County,No
Kane County, Illinois,County,Yes
Kankakee County, Illinois,County,No
Kendall County, Illinois,County,No
Knox County, Illinois,County,No
Lake County, Illinois,County,Yes
LaSalle County, Illinois,County,No
Lawrence County, Illinois,County,No
Lee County, Illinois,County,No
Livingston County, Illinois,County,No
Logan County, Illinois,County,No
McDonough County, Illinois,County,No
McHenry County, Illinois,County,No
McLean County, Illinois,County,No
Macon County, Illinois,County,No
Macoupin County, Illinois,County,No
Madison County, Illinois,County,No
Marion County, Illinois,County,No
Marshall County, Illinois,County,No
Mason County, Illinois,County,No
Massac County, Illinois,County,No
Menard County, Illinois,County,No
Mercer County, Illinois,County,No
Monroe County, Illinois,County,Yes
Montgomery County, Illinois,County,No
Morgan County, Illinois,County,No
Moultrie County, Illinois,County,Yes
Ogle County, Illinois,County,No
Peoria County, Illinois,County,No
Perry County, Illinois,County,No
Piatt County, Illinois,County,No
Pike County, Illinois,County,No
Pope County, Illinois,County,Yes
Pulaski County, Illinois,County,Yes
Putnam County, Illinois,County,No
Randolph County, Illinois,County,No
Richland County, Illinois,County,No
Rock Island County, Illinois,County,No
St. Clair County, Illinois,County,No
Saline County, Illinois,County,No
Sangamon County, Illinois,County,No
Schuyler County, Illinois,County,No
Scott County, Illinois,County,No
Shelby County, Illinois,County,No
Stark County, Illinois,County,No
Stephenson County, Illinois,County,No
Tazewell County, Illinois,County,No
Union County, Illinois,County,No
Vermilion County, Illinois,County,No
Wabash County, Illinois,County,No
Warren County, Illinois,County,No
Washington County, Illinois,County,No
Wayne County, Illinois,County,Yes
White County, Illinois,County,No
Whiteside County, Illinois,County,No
Will County, Illinois,County,No
Williamson County, Illinois,County,No
Winnebago County, Illinois,County,No
Woodford County, Illinois,County,No
Adams County, Indiana,County,Yes
Allen County, Indiana,County,No
Bartholomew County, Indiana,County,No
Benton County, Indiana,County,No
Blackford County, Indiana,County,No
Boone County, Indiana,County,Yes
Brown County, Indiana,County,Yes
Carroll County, Indiana,County,Yes
Cass County, Indiana,County,No
Clark County, Indiana,County,No
Clay County, Indiana,County,No
Clinton County, Indiana,County,No
Crawford County, Indiana,County,No
Daviess County, Indiana,County,Yes
Dearborn County, Indiana,County,No
Decatur County, Indiana,County,Yes
DeKalb County, Indiana,County,Yes
Delaware County, Indiana,County,Yes
Dubois County, Indiana,County,No
Elkhart County, Indiana,County,No
Fayette County, Indiana,County,No
Floyd County, Indiana,County,No
Fountain County, Indiana,County,No
Franklin County, Indiana,County,Yes
Fulton County, Indiana,County,No
Gibson County, Indiana,County,No
Grant County, Indiana,County,No
Greene County, Indiana,County,Yes
Hamilton County, Indiana,County,Yes
Hancock County, Indiana,County,No
Harrison County, Indiana,County,No
Hendricks County, Indiana,County,Yes
Henry County, Indiana,County,No
Howard County, Indiana,County,No
Huntington County, Indiana,County,No
Jackson County, Indiana,County,No
Jasper County, Indiana,County,No
Jay County, Indiana,County,No
Jefferson County, Indiana,County,No
Jennings County, Indiana,County,Yes
Johnson County, Indiana,County,No
Knox County, Indiana,County,No
Kosciusko County, Indiana,County,No
LaGrange County, Indiana,County,Yes
Lake County, Indiana,County,No
LaPorte County, Indiana,County,No
Lawrence County, Indiana,County,Yes
Madison County, Indiana,County,No
Marion County, Indiana,County,No
Marshall County, Indiana,County,No
Martin County, Indiana,County,No
Miami County, Indiana,County,Yes
Monroe County, Indiana,County,Yes
Montgomery County, Indiana,County,Yes
Morgan County, Indiana,County,No
Newton County, Indiana,County,No
Noble County, Indiana,County,No
Ohio County, Indiana,County,No
Orange County, Indiana,County,No
Owen County, Indiana,County,No
Parke County, Indiana,County,No
Perry County, Indiana,County,No
Pike County, Indiana,County,Yes
Porter County, Indiana,County,No
Posey County, Indiana,County,No
Pulaski County, Indiana,County,No
Putnam County, Indiana,County,No
Randolph County, Indiana,County,No
Ripley County, Indiana,County,No
Rush County, Indiana,County,No
St. Joseph County, Indiana,County,No
Scott County, Indiana,County,Yes
Shelby County, Indiana,County,No
Spencer County, Indiana,County,No
Starke County, Indiana,County,No
Steuben County, Indiana,County,Yes
Sullivan County, Indiana,County,No
Switzerland County, Indiana,County,No
Tippecanoe County, Indiana,County,Yes
Tipton County, Indiana,County,No
Union County, Indiana,County,No
Vanderburgh County, Indiana,County,No
Vermillion County, Indiana,County,No
Vigo County, Indiana,County,Yes
Wabash County, Indiana,County,No
Warren County, Indiana,County,No
Warrick County, Indiana,County,No
Washington County, Indiana,County,No
Wayne County, Indiana,County,No
Wells County, Indiana,County,No
White County, Indiana,County,Yes
Whitley County, Indiana,County,Yes
Adair County, Iowa,County,No
Adams County, Iowa,County,No
Allamakee County, Iowa,County,No
Appanoose County, Iowa,County,No
Audubon County, Iowa,County,No
Benton County, Iowa,County,No
Black Hawk County, Iowa,County,Yes
Boone County, Iowa,County,No
Bremer County, Iowa,County,No
Buchanan County, Iowa,County,No
Buena Vista County, Iowa,County,No
Butler County, Iowa,County,No
Calhoun County, Iowa,County,Yes
Carroll County, Iowa,County,No
Cass County, Iowa,County,No
Cedar County, Iowa,County,No
Cerro Gordo County, Iowa,County,No
Cherokee County, Iowa,County,No
Chickasaw County, Iowa,County,No
Clarke County, Iowa,County,No
Clay County, Iowa,County,No
Clayton County, Iowa,County,No
Clinton County, Iowa,County,No
Crawford County, Iowa,County,No
Dallas County, Iowa,County,Yes
Davis County, Iowa,County,No
Decatur County, Iowa,County,No
Delaware County, Iowa,County,Yes
Des Moines County, Iowa,County,No
Dickinson County, Iowa,County,Yes
Dubuque County, Iowa,County,No
Emmet County, Iowa,County,No
Fayette County, Iowa,County,Yes
Floyd County, Iowa,County,No
Franklin County, Iowa,County,No
Fremont County, Iowa,County,Yes
Greene County, Iowa,County,No
Grundy County, Iowa,County,No
Guthrie County, Iowa,County,Yes
Hamilton County, Iowa,County,No
Hancock County, Iowa,County,No
Hardin County, Iowa,County,No
Harrison County, Iowa,County,No
Henry County, Iowa,County,Yes
Howard County, Iowa,County,No
Humboldt County, Iowa,County,No
Ida County, Iowa,County,No
Iowa County, Iowa,County,No
Jackson County, Iowa,County,No
Jasper County, Iowa,County,Yes
Jefferson County, Iowa,County,Yes
Johnson County, Iowa,County,Yes
Jones County, Iowa,County,No
Keokuk County, Iowa,County,No
Kossuth County, Iowa,County,No
Lee County, Iowa,County,No
Linn County, Iowa,County,No
Louisa County, Iowa,County,No
Lucas County, Iowa,County,No
Lyon County, Iowa,County,Yes
Madison County, Iowa,County,Yes
Mahaska County, Iowa,County,No
Marion County, Iowa,County,No
Marshall County, Iowa,County,No
Mills County, Iowa,County,No
Mitchell County, Iowa,County,Yes
Monona County, Iowa,County,No
Monroe County, Iowa,County,Yes
Montgomery County, Iowa,County,No
Muscatine County, Iowa,County,No
O'Brien County, Iowa,County,No
Osceola County, Iowa,County,No
Page County, Iowa,County,Yes
Palo Alto County, Iowa,County,No
Plymouth County, Iowa,County,No
Pocahontas County, Iowa,County,No
Polk County, Iowa,County,Yes
Pottawattamie County, Iowa,County,Yes
Poweshiek County, Iowa,County,No
Ringgold County, Iowa,County,No
Sac County, Iowa,County,Yes
Scott County, Iowa,County,No
Shelby County, Iowa,County,No
Sioux County, Iowa,County,No
Story County, Iowa,County,Yes
Tama County, Iowa,County,No
Taylor County, Iowa,County,Yes
Union County, Iowa,County,No
Van Buren County, Iowa,County,No
Wapello County, Iowa,County,No
Warren County, Iowa,County,No
Washington County, Iowa,County,No
Wayne County, Iowa,County,Yes
Webster County, Iowa,County,No
Winnebago County, Iowa,County,No
Winneshiek County, Iowa,County,Yes
Woodbury County, Iowa,County,No
Worth County, Iowa,County,No
Wright County, Iowa,County,No
Allen County, Kansas,County,No
Anderson County, Kansas,County,No
